lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
,113,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.19647721946239471,1964.8131103515625,0.19647721946239471,0.16123761236667633,nan,nan,nan,0.0,0.23456789553165436,1.752027492329944e-05,9.049532309290953e-06,8.470741704513784e-06,0.23456789553165436
0.004,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,0.19450712203979492,1945.11279296875,0.19450712203979492,0.21589919924736023,nan,nan,nan,0.0,0.2469135820865631,1.693632293608971e-05,8.534720109310001e-06,8.401604645769112e-06,0.2469135820865631,0.194635808467865,0.19450712203979492,19.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,19,,,,,,,,,,,,,
,119,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.1961154341697693,1961.1978759765625,0.1961154341697693,0.16755463182926178,nan,nan,nan,0.0,0.24691356718540192,1.7611781004234217e-05,9.024388418765739e-06,8.587390766479075e-06,0.24691356718540192
0.004,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,0.19410528242588043,1941.0963134765625,0.19410528242588043,0.225697860121727,nan,nan,nan,0.0,0.25925925374031067,1.676679494266864e-05,8.296326996060088e-06,8.47046794660855e-06,0.25925925374031067,0.19426444172859192,0.19410528242588043,20.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,20,,,,,,,,,,,,,
,125,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.1954793483018875,1954.84130859375,0.1954793483018875,0.17916281521320343,nan,nan,nan,0.0,0.25925925374031067,1.845073165895883e-05,9.640470125305e-06,8.810264262137935e-06,0.25925925374031067
0.004,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,0.19402509927749634,1940.29833984375,0.19402509927749634,0.2276190221309662,nan,nan,nan,0.0,0.2716049253940582,1.7351811038679443e-05,8.666176654514857e-06,8.685637112648692e-06,0.2716049253940582,0.1940969079732895,0.19402509927749634,21.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,21,,,,,,,,,,,,,
,131,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.1950560212135315,1950.6102294921875,0.1950560212135315,0.18883009254932404,nan,nan,nan,0.0,0.2716049253940582,1.8368677046964876e-05,9.472297278989572e-06,8.8963779489859e-06,0.2716049253940582
0.004,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,137,0.19426220655441284,1942.6724853515625,0.19426220655441284,0.22183528542518616,nan,nan,nan,0.0,0.2839506268501282,1.7750426195561886e-05,8.910056749300566e-06,8.84036944626132e-06,0.2839506268501282,0.19421261548995972,0.19426220655441284,22.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,22,,,,,,,,,,,,,
,137,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0.19520819187164307,1952.1358642578125,0.19520819187164307,0.18844570219516754,nan,nan,nan,0.0,0.2839505970478058,1.8997054212377407e-05,9.9425697044353e-06,9.054484507942107e-06,0.2839505970478058
0.004,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,0.19362808763980865,1936.3333740234375,0.19362808763980865,0.23732858896255493,nan,nan,nan,0.0,0.29629629850387573,1.7743926946423016e-05,8.573625564167742e-06,9.17030411073938e-06,0.29629629850387573,0.19380345940589905,0.19362808763980865,23.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,23,,,,,,,,,,,,,
,143,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.1947544813156128,1947.6007080078125,0.1947544813156128,0.19423188269138336,nan,nan,nan,0.0,0.2962963283061981,1.883326331153512e-05,9.644266356190201e-06,9.188996955344919e-06,0.2962963283061981
