lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
,65,0.22299893200397491,2230.017578125,0.22299893200397491,0.12343692034482956,0.1300177276134491,0.04831073433160782,nan,0.0,0.1358024626970291,2.0766474335687235e-05,6.831050086475443e-06,1.3935425158706494e-05,0.1358024626970291,0.22327330708503723,0.22299893200397491,10.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,10,,,,,,,,,,,,,
,65,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.22497354447841644,2249.76416015625,0.22497354447841644,0.0792989507317543,0.084858238697052,0.013168193399906158,nan,0.0,0.1358024626970291,2.1311527234502137e-05,7.777025530231185e-06,1.3534502613765653e-05,0.1358024626970291
0.004,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,0.22210900485515594,2221.123291015625,0.22210900485515594,0.13868264853954315,0.14268116652965546,0.07859019935131073,nan,0.0,0.14814814925193787,2.256745756312739e-05,7.233597898448352e-06,1.5333862393163145e-05,0.14814814925193787,0.22245830297470093,0.22210900485515594,11.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,11,,,,,,,,,,,,,
,71,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.2239050269126892,2239.083740234375,0.2239050269126892,0.09393149614334106,0.10196451097726822,0.03438025340437889,nan,0.0,0.14814816415309906,2.27166401600698e-05,7.86080909165321e-06,1.4855829249427188e-05,0.14814816415309906
0.004,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,0.22157686948776245,2215.80712890625,0.22157686948776245,0.14940233528614044,0.15415075421333313,0.08707719296216965,nan,0.0,0.16049382090568542,2.3841910660848953e-05,7.236200417537475e-06,1.660571069805883e-05,0.16049382090568542,0.22184130549430847,0.22157686948776245,12.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,12,,,,,,,,,,,,,
,77,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.22349251806735992,2234.964599609375,0.22349251806735992,0.10268143564462662,0.10953254252672195,0.04615788534283638,nan,0.0,0.16049383580684662,2.4546621716581285e-05,8.407597306359094e-06,1.6139025319716893e-05,0.16049383580684662
0.004,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,0.22102084755897522,2210.252197265625,0.22102084755897522,0.15905533730983734,0.16750654578208923,0.10065091401338577,nan,0.0,0.17283950746059418,2.5325623937533237e-05,7.553637715318473e-06,1.777198485797271e-05,0.17283950746059418,0.2212669849395752,0.22102084755897522,13.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,13,,,,,,,,,,,,,
,83,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.2228640913963318,2228.68505859375,0.2228640913963318,0.11484202742576599,0.1253940314054489,0.06368708610534668,nan,0.0,0.17283950746059418,2.5426357751712203e-05,8.179395081242546e-06,1.7246960851480253e-05,0.17283950746059418
0.004,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
